Model,Year,MaxSpeed
356,1948,160
356A,1955,177
356B,1959,175
356C,1963,185
550 Spyder,1953,220
718 RSK,1957,245
904 Carrera GTS,1963,263
911,1963,210
911S,1966,225
911T,1967,205
911E,1969,215
914/4,1969,190
914/6,1970,220
911 Carrera RS 2.7,1973,245
911 Turbo (930),1975,260
924,1976,204
924 Turbo,1978,225
928,1977,250
928 S,1980,260
928 GT,1989,275
928 GTS,1992,280
944,1982,220
944 Turbo,1985,245
944 S2,1989,240
959,1986,317
911 Carrera 3.2,1984,245
911 Speedster,1989,240
964 Carrera 2,1989,260
964 Turbo,1990,280
964 RS America,1993,255
968,1991,252
968 Club Sport,1993,260
993 Carrera,1993,270
993 Turbo,1995,290
993 GT2,1995,301
996 Carrera,1997,290
996 GT3,1999,305
996 Turbo,2000,305
Carrera GT,2003,330
987 Cayman S,2005,275
987 Boxster,2005,265
997 Carrera S,2004,293
997 GT3 RS,2006,310
997 Turbo,2006,310
997 GT2,2007,329
981 Boxster S,2012,279
981 Cayman GTS,2014,285
991 Carrera S,2011,308
991 GT3,2013,315
991 Turbo S,2013,318
918 Spyder,2013,345
991 R,2016,323
982 718 Cayman S,2016,285
991.2 GT2 RS,2017,340
992 Carrera S,2019,308
992 Turbo S,2020,330
Taycan Turbo S,2019,260
992 GT3,2021,318
992 GT3 RS,2022,296
