Model,ReleaseYear,MaxSpeed
356_1100,1950,155
356_Pre-A,1948,160
356_1300,1951,162
356_1500,1952,170
356A_1300,1955,170
356_1300_S,1954,172
356_America_Roadster,1952,175
356A_1600,1956,175
356B_1600,1959,175
356A_1300_S,1955,177
356_1500_S,1954,180
356B_1600_Super_90,1962,180
356B_1600_S,1959,185
356C_1600_C,1963,185
356A_1600_S,1956,185
914/4,1969,190
356B_1600_S90,1960,190
356C_1600_SC,1963,195
356A_1500_GS_Carrera,1955,200
924,1976,204
911T,1967,205
911,1963,210
911E,1969,215
356A_1600_GT_Carrera,1958,215
944,1982,220
914/6,1970,220
550_Spyder,1953,220
356B_2000_GS_Carrera_GT,1961,225
911S,1966,225
924_Turbo,1978,225
944_S,1987,230
356B_2000_GS_Carrera_2,1962,230
911S_2.2,1970,230
Macan_T,2022,232
911_SC,1978,235
Boxster_(986),1997,240
911_Speedster,1989,240
944_S2,1989,240
992_Dakar,2023,240
Cayenne_S,2002,242
911_Carrera_3.2,1984,245
718_RSK,1957,245
911_Carrera_RS_2.7,1973,245
944_Turbo,1985,245
Taycan_Cross_Turismo,2021,250
Taycan_4S,2020,250
928,1977,250
968,1991,252
Macan_S,2014,254
964_RS_America,1993,255
Taycan_Turbo_S,2019,260
911_Turbo_(930),1975,260
964_Carrera_2,1989,260
964_Carrera_4,1989,260
928_S,1980,260
968_Club_Sport,1993,260
904_Carrera_GTS,1963,263
987_Boxster,2005,265
Macan_Turbo,2014,266
Cayenne_Turbo,2002,266
993_Carrera,1993,270
928_S4,1987,270
928_GT,1989,275
987_Cayman_S,2005,275
964_Turbo,1990,280
928_GTS,1992,280
Panamera_S,2009,283
982_718_Cayman_S,2016,285
996_Carrera,1997,290
993_Turbo,1995,290
997_Carrera_S,2004,293
981_Cayman_GT4,2015,295
992_GT3_RS,2022,296
992_GT3_RS,2023,296
993_GT2,1995,301
Panamera_Turbo,2009,303
Taycan_Turbo_GT,2024,305
996_Turbo,2000,305
996_GT3,1999,305
992_Carrera_S,2019,308
997_Turbo,2006,310
991_GT3_RS,2015,310
997_GT3_RS,2006,310
997_GT3,2006,310
Panamera_Turbo_S_E-Hybrid,2017,310
992_Sport_Classic,2022,315
718_Cayman_GT4_RS,2022,315
911_GT2_(996),2001,315
959,1986,317
992_GT3,2021,318
991_R,2016,323
997_GT2,2007,329
Carrera_GT,2003,330
992_Turbo_S,2020,330
991.2_GT2_RS,2017,340
918_Spyder,2013,345
