Model,ReleaseYear,MaxSpeed
356A_1300,1955,170
356A_1300_S,1955,177
356A_1500_GS_Carrera,1955,200
356A_1600,1956,175
356A_1600_GT_Carrera,1958,215
356A_1600_S,1956,185
356B_1600,1959,175
356B_1600_S,1959,185
356B_1600_S90,1960,190
356B_1600_Super_90,1962,180
356B_2000_GS_Carrera_2,1962,230
356B_2000_GS_Carrera_GT,1961,225
356C_1600_C,1963,185
356C_1600_SC,1963,195
356_1100,1950,155
356_1300,1951,162
356_1300_S,1954,172
356_1500,1952,170
356_1500_S,1954,180
356_America_Roadster,1952,175
356_Pre-A,1948,160
550_Spyder,1953,220
718_Cayman_GT4_RS,2022,315
718_RSK,1957,245
904_Carrera_GTS,1963,263
911,1963,210
911E,1969,215
911S,1966,225
911S_2.2,1970,230
911T,1967,205
911_Carrera_3.2,1984,245
911_Carrera_RS_2.7,1973,245
911_GT2_(996),2001,315
911_SC,1978,235
911_Speedster,1989,240
911_Turbo_(930),1975,260
914/4,1969,190
914/6,1970,220
918_Spyder,2013,345
924,1976,204
924_Turbo,1978,225
928,1977,250
928_GT,1989,275
928_GTS,1992,280
928_S,1980,260
928_S4,1987,270
944,1982,220
944_S,1987,230
944_S2,1989,240
944_Turbo,1985,245
959,1986,317
964_Carrera_2,1989,260
964_Carrera_4,1989,260
964_RS_America,1993,255
964_Turbo,1990,280
968,1991,252
968_Club_Sport,1993,260
981_Cayman_GT4,2015,295
982_718_Cayman_S,2016,285
987_Boxster,2005,265
987_Cayman_S,2005,275
991.2_GT2_RS,2017,340
991_GT3_RS,2015,310
991_R,2016,323
992_Carrera_S,2019,308
992_Dakar,2023,240
992_GT3,2021,318
992_GT3_RS,2022,296
992_GT3_RS,2023,296
992_Sport_Classic,2022,315
992_Turbo_S,2020,330
993_Carrera,1993,270
993_GT2,1995,301
993_Turbo,1995,290
996_Carrera,1997,290
996_GT3,1999,305
996_Turbo,2000,305
997_Carrera_S,2004,293
997_GT2,2007,329
997_GT3,2006,310
997_GT3_RS,2006,310
997_Turbo,2006,310
Boxster_(986),1997,240
Carrera_GT,2003,330
Cayenne_S,2002,242
Cayenne_Turbo,2002,266
Macan_S,2014,254
Macan_T,2022,232
Macan_Turbo,2014,266
Panamera_S,2009,283
Panamera_Turbo,2009,303
Panamera_Turbo_S_E-Hybrid,2017,310
Taycan_4S,2020,250
Taycan_Cross_Turismo,2021,250
Taycan_Turbo_GT,2024,305
Taycan_Turbo_S,2019,260
